distance from ice divide (m)	bed elevation (m a.s.l.)	width (m)
0	250	13000
200	248.4	13014.68276
400	246.8	13026.92444
600	245.2	13036.76732
800	243.6	13044.25331
1000	242	13049.42397
1200	240.4	13052.3205
1400	238.8	13052.98375
1600	237.2	13051.45418
1800	235.6	13047.77195
2000	234	13041.97683
2200	232.4	13034.10824
2400	230.8	13024.20528
2600	229.2	13012.30665
2800	227.6	12998.45076
3000	226	12982.67562
3200	224.4	12965.01894
3400	222.8	12945.51806
3600	221.2	12924.20997
3800	219.6	12901.13135
4000	218	12876.31851
4200	216.4	12849.80744
4400	214.8	12821.63378
4600	213.2	12791.83284
4800	211.6	12760.43961
5000	210	12727.4887
5200	208.4	12693.01444
5400	206.8	12657.05081
5600	205.2	12619.63144
5800	203.6	12580.78966
6000	202	12540.55846
6200	200.4	12498.9705
6400	198.8	12456.05813
6600	197.2	12411.85336
6800	195.6	12366.38788
7000	194	12319.69306
7200	192.4	12271.79997
7400	190.8	12222.73934
7600	189.2	12172.54158
7800	187.6	12121.2368
8000	186	12068.85478
8200	184.4	12015.425
8400	182.8	11960.97662
8600	181.2	11905.53849
8800	179.6	11849.13915
9000	178	11791.80685
9200	176.4	11733.56949
9400	174.8	11674.45471
9600	173.2	11614.48982
9800	171.6	11553.70183
10000	170	11492.11745
10200	168.4	11429.7631
10400	166.8	11366.66489
10600	165.2	11302.84862
10800	163.6	11238.33982
11000	162	11173.16371
11200	160.4	11107.3452
11400	158.8	11040.90895
11600	157.2	10973.87927
11800	155.6	10906.28024
12000	154	10838.13561
12200	152.4	10769.46885
12400	150.8	10700.30316
12600	149.2	10630.66143
12800	147.6	10560.56628
13000	146	10490.04004
13200	144.4	10419.10478
13400	142.8	10347.78226
13600	141.2	10276.09398
13800	139.6	10204.06116
14000	138	10131.70473
14200	136.4	10059.04536
14400	134.8	9986.103445
14600	133.2	9912.899097
14800	131.6	9839.452165
15000	130	9765.782227
15200	128.4	9691.90859
15400	126.8	9617.850295
15600	125.2	9543.626116
15800	123.6	9469.254563
16000	122	9394.753881
16200	120.4	9320.142053
16400	118.8	9245.4368
16600	117.2	9170.655585
16800	115.6	9095.815611
17000	114	9020.933824
17200	112.4	8946.026913
17400	110.8	8871.111313
17600	109.2	8796.203206
17800	107.6	8721.318521
18000	106	8646.472936
18200	104.4	8571.681879
18400	102.8	8496.96053
18600	101.2	8422.323822
18800	99.6	8347.786441
19000	98	8273.362829
19200	96.4	8199.067185
19400	94.8	8124.913466
19600	93.2	8050.915387
19800	91.6	7977.086424
20000	90	7903.439816
20200	88.4	7829.988563
20400	86.8	7756.745429
20600	85.2	7683.722947
