distance from grounding line (m)	basis for submarine melt rate (m s-1)
0	0
200	1.07582E-07
400	3.27382E-07
600	5.78732E-07
800	8.01807E-07
1000	9.57622E-07
1200	1.02803E-06
1400	1.01574E-06
1600	9.4429E-07
1800	8.58053E-07
2000	7.70128E-07
2200	6.99835E-07
2400	6.44555E-07
2600	6.02019E-07
2800	5.70197E-07
3000	5.47281E-07
3200	5.31669E-07
3400	5.21949E-07
3600	5.1689E-07
3800	5.15424E-07
4000	5.15E-07
4200	5.15E-07
4400	5.15E-07
4600	5.15E-07
4800	5.15E-07
5000	5.15E-07
5200	5.15E-07
5400	5.15E-07
5600	5.15E-07
5800	5.15E-07
6000	5.15E-07
6200	5.15E-07
6400	5.15E-07
6600	5.15E-07
6800	5.15E-07
7000	5.15E-07
7200	5.15E-07
7400	5.15E-07
7600	5.15E-07
7800	5.15E-07
8000	5.15E-07
8200	5.15E-07
8400	5.15E-07
8600	5.15E-07
8800	5.15E-07
9000	5.15E-07
9200	5.15E-07
9400	5.15E-07
9600	5.15E-07
9800	5.15E-07
10000	5.15E-07
10200	5.15E-07
10400	5.15E-07
